,Name,Age,Gender,Admission Test Score,High School Percentage,City,Admission Status,Binned_admission_Test_score,Accepted,Rejected
0,Shehroz,24.0,Female,50.0,68.9,Quetta,Rejected,average score,0,1
1,Waqar,21.0,Female,99.0,60.73,Karachi,Rejected,high score,0,1
2,Bushra,17.0,Male,89.0,75.0146715328467,Islamabad,Accepted,average score,1,0
3,Aliya,17.0,Male,55.0,85.29,Karachi,Rejected,average score,0,1
4,Bilal,20.0,Male,65.0,61.13,Lahore,Rejected,average score,0,1
5,Murtaza,23.0,Female,77.63970588235294,75.0146715328467,Islamabad,Accepted,average score,1,0
6,Asad,18.0,Male,77.63970588235294,97.31,Multan,Accepted,average score,1,0
7,Rabia,20.0,Female,82.0,55.67,Lahore,Accepted,average score,1,0
8,Rohail,17.0,Male,64.0,75.0146715328467,Karachi,Accepted,average score,1,0
9,Kamran,18.0,Male,53.0,98.98,Multan,Rejected,average score,0,1
11,Nashit,18.0,Male,89.0,75.0146715328467,Lahore,Accepted,average score,1,0
13,Ahmed,21.0,Male,62.0,79.03,Karachi,Accepted,average score,1,0
14,Fareeha,22.0,Male,86.0,50.77,Islamabad,Rejected,average score,0,1
15,Saim,19.0,Male,84.0,97.19,Peshawar,Rejected,average score,0,1
16,Mahnoor,19.773722627737225,Male,61.0,74.08,Islamabad,Rejected,average score,0,1
17,Uzma,17.0,Female,96.0,93.34,Karachi,Rejected,average score,0,1
18,Maryam,19.0,Female,74.0,70.26,Lahore,Accepted,average score,1,0
20,Waqar,22.0,Male,77.0,94.02,Peshawar,Rejected,average score,0,1
21,Fatima,19.773722627737225,Female,79.0,73.23,Quetta,Rejected,average score,0,1
22,Kamran,18.0,Male,53.0,98.98,Multan,Rejected,average score,0,1
25,Shayan,18.0,Male,77.63970588235294,75.0146715328467,Lahore,Rejected,average score,0,1
26,Imran,20.0,Female,76.0,69.27,Peshawar,Rejected,average score,0,1
27,Anum,20.0,Female,96.0,62.44,Quetta,Rejected,average score,0,1
28,Bushra,17.0,Male,89.0,78.57,Islamabad,Accepted,average score,1,0
29,Laiba,22.0,Female,57.0,75.0146715328467,Rawalpindi,Accepted,average score,1,0
30,Ali,17.0,Male,74.0,56.38,Rawalpindi,Rejected,average score,0,1
31,Rehan,19.0,Female,-5.0,61.91,Quetta,Rejected,low score,0,1
32,Zara,24.0,Female,65.0,91.14,Multan,Rejected,average score,0,1
33,Fatima,24.0,Female,66.0,74.8,Peshawar,Rejected,average score,0,1
34,Shayan,24.0,Male,58.0,85.41,Multan,Rejected,average score,0,1
35,Feroze,23.0,Female,51.0,92.36,Karachi,Accepted,average score,1,0
36,Ayesha,24.0,Male,94.0,98.43,Multan,Rejected,average score,0,1
37,Lubna,21.0,Female,89.0,82.57,Multan,Rejected,average score,0,1
38,Ali,17.0,,74.0,56.38,Rawalpindi,Rejected,average score,0,1
39,Aliya,23.0,Male,50.0,85.25,Rawalpindi,Accepted,average score,1,0
40,Rohail,23.0,,78.0,75.05,Quetta,Rejected,average score,0,1
41,Feroze,22.0,Female,50.0,88.36,Quetta,Rejected,average score,0,1
42,Wajeeha,21.0,Male,63.0,74.83,Islamabad,Accepted,average score,1,0
